id,data,valor,taxa,total,total_calc,taxa_valida,motivo
1,2026-02-01,335.24,0.05,364.0,352.0,True,total_diverge; 
2,2026-02-02,162.73,0.05,170.87,170.87,True,
3,2026-02-03,202.63,0.15,233.02,233.02,True,
4,2026-02-04,232.6,0.0,232.6,232.6,True,
5,2026-02-05,136.89,0.0,136.89,136.89,True,
6,2026-02-06,200.17,0.1,220.19,220.19,True,
7,2026-02-07,199.93,0.05,209.93,209.93,True,
8,2026-02-08,59.62,0.05,62.6,62.6,True,
9,2026-02-09,281.41,0.1,309.55,309.55,True,
10,2026-02-10,248.04,0.05,265.44,260.44,True,total_diverge; 
11,2026-02-11,149.97,0.1,164.97,164.97,True,
12,2026-02-12,186.28,0.1,204.91,204.91,True,
13,2026-02-13,240.42,0.05,252.44,252.44,True,
14,2026-02-14,179.09,0.0,179.09,179.09,True,
15,2026-02-15,180.58,0.05,189.61,189.61,True,
16,2026-02-16,83.74,0.15,96.3,96.3,True,
17,2026-02-17,244.37,0.05,256.59,256.59,True,
18,2026-02-18,209.91,0.0,209.91,209.91,True,
19,2026-02-19,221.96,0.05,233.06,233.06,True,
20,2026-02-20,77.88,0.1,85.67,85.67,True,
21,2026-02-21,332.06,0.0,332.06,332.06,True,
22,2026-02-22,212.35,0.1,233.58,233.58,True,
23,2026-02-23,169.03,0.0,169.03,169.03,True,
24,2026-02-24,362.33,0.15,409.68,416.68,True,total_diverge; 
25,2026-02-25,196.37,0.05,206.19,206.19,True,
26,2026-02-26,83.95,0.0,83.95,83.95,True,
27,2026-02-27,167.58,0.15,192.72,192.72,True,
28,2026-02-28,16.93,0.05,10.780000000000001,17.78,True,total_diverge; 
29,2026-03-01,283.95,0.1,312.35,312.35,True,
30,2026-03-02,166.68,0.05,175.01,175.01,True,
31,2026-03-03,140.6,0.0,140.6,140.6,True,
32,2026-03-04,285.8,0.0,285.8,285.8,True,
33,2026-03-05,67.91,0.0,67.91,67.91,True,
34,2026-03-06,242.83,0.0,242.83,242.83,True,
35,2026-03-07,34.85,0.0,34.85,34.85,True,
36,2026-03-08,147.03,0.0,147.03,147.03,True,
37,2026-03-09,103.66,0.15,119.21,119.21,True,
38,2026-03-10,316.96,0.0,316.96,316.96,True,
39,2026-03-11,341.29,0.05,358.35,358.35,True,
40,2026-03-12,173.65,0.0,173.65,173.65,True,
41,2026-03-13,267.26,0.05,280.62,280.62,True,
42,2026-03-14,185.6,0.1,204.16,204.16,True,
43,2026-03-15,245.44,0.15,282.26,282.26,True,
